,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
4108,Christian Kabasele,Centre-Back,25,KRC Genk,Jupiler Pro League(Belgium),Watford,Premier League,17,6.0,6.95,3
4109,Patrick Bamford,Centre-Forward,23,Chelsea,Premier League,Middlesbrough,Premier League,17,5.0,6.9,1
4110,Haiqing Cao,Left-Back,23,ZJ Greentown,French Ligue 1,JS Suning,Super League Greece,17,0.175,6.87,3
4111,Hernán Toledo,Left Winger,20,Vélez Sarsfield,LaLiga,Maldonado,Uruguayan Primera Division,17,0.2,6.75,1
4112,Matz Sels,Goalkeeper,24,KAA Gent,Jupiler Pro League(Belgium),Newcastle,English League Championship,17,6.5,6.6,4
4113,Silvio Romero,Centre-Forward,27,Chiapas FC,Mexican League,América,Mexican League,17,3.0,6.6,1
4114,Grant Hanley,Centre-Back,24,Blackburn,English League Championship,Newcastle,English League Championship,17,2.5,6.6,3
4115,Alex Telles,Left-Back,23,Galatasaray,Turkish Super Lig,FC Porto,LaLiga,17,8.5,6.5,3
4116,Douglas Santos,Left-Back,22,Atlético-MG,Italy Serie A,Hamburger SV,German Bundesliga,17,6.0,6.5,3
4117,Matt Phillips,Right Winger,25,QPR,English League Championship,West Brom,Premier League,17,6.0,6.5,1
4118,Hiroshi Kiyotake,Attacking Midfield,26,Hannover 96,German Bundesliga 2,Sevilla FC,LaLiga,17,4.5,6.5,2
4119,Jhon Córdoba,Centre-Forward,23,Granada CF,LaLiga,1.FSV Mainz 05,German Bundesliga,17,3.5,6.5,1
4120,Willy Boly,Centre-Back,25,Braga,LaLiga,FC Porto,LaLiga,17,2.75,6.5,3
4121,Simone Verdi,Right Winger,24,AC Milan,Italy Serie A,Bologna,Italy Serie A,17,2.0,6.5,1
4122,Lys Mousset,Centre-Forward,20,AC Le Havre,Ligue 2,Bournemouth,Premier League,17,0.4,6.5,1
4123,Edimilson Fernandes,Central Midfield,20,FC Sion,Super League Greece,West Ham,Premier League,17,4.5,6.4,2
4124,Loris Karius,Goalkeeper,23,1.FSV Mainz 05,German Bundesliga,Liverpool,Premier League,17,7.0,6.2,4
4125,Neymar,Left Winger,25,FC Barcelona,LaLiga,Paris SG,French Ligue 1,18,100.0,222.0,1
4126,Philippe Coutinho,Attacking Midfield,25,Liverpool,Premier League,FC Barcelona,LaLiga,18,90.0,125.0,2
