,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
208,208,Cédric Roussel,Centre-Forward,23,Coventry City,Premier League,Wolves,Premier League,1,1.2,2.4,1
209,209,Per Frandsen,Right Midfield,30,Blackburn,Premier League,Bolton,Premier League,1,1.2,2.4,2
210,210,Luciano,Right Midfield,24,Bologna,Italy Serie A,Chievo Verona,Italy Serie B,1,1.165,2.33,2
211,211,Edgaras Jankauskas,Centre-Forward,25,Club Brugge,Jupiler Pro League(Belgium),Real Sociedad,LaLiga,1,1.15,2.3,1
212,212,Alan Mahon,Left Midfield,22,Sporting CP,LaLiga,Blackburn,Premier League,1,1.15,2.3,2
213,213,Gustavo Nery,Left-Back,22,Guarani,Brazil,São Paulo,Brazil,1,1.15,2.3,3
214,214,Ciriaco Sforza,Central Midfield,30,1.FC K'lautern,German Bundesliga,Bayern Munich ,German Bundesliga,1,1.15,2.3,2
215,215,David Hopkin,Right Midfield,30,Bradford City,Premier League,Crystal Palace,Premier League,1,1.125,2.25,2
216,216,Paul Robinson,Centre-Forward,21,Newcastle,Premier League,MK Dons,Premier League,1,1.125,2.25,1
217,217,Karel Poborsky,Right Midfield,28,Benfica,LaLiga,Lazio,Italy Serie A,1,1.125,2.25,2
218,218,Rab Douglas,Goalkeeper,28,Dundee FC,Scottish Premiership,Celtic,Scottish Premiership,1,1.125,2.25,4
219,219,Erman Güracar,Centre-Back,25,Samsunspor,Turkish Super Lig,Besiktas,Turkish Super Lig,1,1.125,2.25,3
220,220,Trevor Benjamin,Centre-Forward,21,Cambridge Utd.,Premier League,Leicester,Premier League,1,1.125,2.25,1
221,221,John Curtis,Right-Back,21,Man Utd,Premier League,Blackburn,Premier League,1,1.125,2.25,3
222,222,Peter Lövenkrands,Centre-Forward,20,Akademisk BK,Denmark Superliga,Rangers,Scottish Premiership,1,1.1,2.2,1
223,223,Ivica Dragutinovic,Centre-Back,24,KAA Gent,Jupiler Pro League(Belgium),Standard Liège,Jupiler Pro League(Belgium),1,1.1,2.2,3
