,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
719,721,Jorge Acuña,Defensive Midfield,23,CDUC, Chile,Feyenoord,Eredivisie,2002-2003,0.5,1.0,M
720,722,Victor Ikpeba,Centre-Forward,29,Bor. Dortmund,1.Bundesliga,Al-Ittihad, Libya,2002-2003,0.5,1.0,F
721,723,Alex Yi,Centre-Back,20,UCLA Bruins, United States,Royal Antwerp,Jupiler Pro League,2002-2003,0.5,1.0,D
722,724,Mauricio Aros,Left-Back,26,Feyenoord,Eredivisie,M. Tel Aviv, Israel,2002-2003,0.5,1.0,D
723,725,Thomas Thorninger,Centre-Forward,29,FC Copenhagen, Denmark,Udinese Calcio,Serie A,2002-2003,0.5,1.0,F
724,726,Mert Nobre,Centre-Forward,21,Paraná, Brazil,Cruzeiro, Brazil,2002-2003,0.5,1.0,F
725,727,Filipe Teixeira,Right Winger,21,Istres FC,Ligue 2,Paris SG,Ligue 1,2002-2003,0.5,1.0,F
726,728,Moubarak Boussoufa,Attacking Midfield,17,Ajax U19,U19 Eredivisie,Chelsea U23, England,2002-2003,0.5,1.0,M
727,729,Mikkel Bischoff,Centre-Back,20,Akademisk BK, Denmark,Man City,Premier League,2002-2003,0.475,0.95,D
728,730,Martijn Meerdink,Right Winger,25,De Graafschap,Eredivisie,AZ Alkmaar,Eredivisie,2002-2003,0.475,0.95,F
729,731,Frédson,Defensive Midfield,21,Paraná, Brazil,Espanyol,LaLiga,2002-2003,0.475,0.95,M
730,732,Yuning Zhang,Centre-Forward,25,Liaoning FC, China,SH Shenhua, China,2002-2003,0.475,0.95,F
731,733,Marco Storari,Goalkeeper,25,Anconitana,Serie B,SSC Napoli,Serie B,2002-2003,0.475,0.95,G
732,734,Kléber Pereira,Centre-Forward,26,Atlético-PR, Brazil,Tigres UANL, Mexico,2002-2003,0.45,0.9,F
733,735,Sebastián Cejas,Goalkeeper,27,Siena,Serie B,Ascoli,Serie B,2002-2003,0.45,0.9,G
734,736,Apostolos Liolidis,Right Winger,24,Aris Saloniki,Super League,Atalanta,Serie A,2002-2003,0.45,0.9,F
735,737,Chris Barker,Left-Back,22,Barnsley FC,Second Division (bis 03/04),Cardiff,Second Division (bis 03/04),2002-2003,0.45,0.9,D
736,738,Diego,Goalkeeper,23,Juventude, Brazil,Atlético-PR, Brazil,2002-2003,0.45,0.9,G
737,739,Georgios Kyriazis,Centre-Back,22,Iraklis,Super League,Catania,Serie B,2002-2003,0.45,0.9,D
738,740,Cata Díaz,Centre-Back,23,CA Rosario, Argentina,CD Cruz Azul, Mexico,2002-2003,0.425,0.85,D
739,741,Rémo Meyer,Centre-Back,21,Lausanne-Sport,Challenge League,1860 Munich,1.Bundesliga,2002-2003,0.4125,0.825,D
740,742,David Beckham,Right Midfield,28,Man Utd,Premier League,Real Madrid,LaLiga,2003-2004,18.75,37.5,M
741,743,Ronaldinho,Attacking Midfield,23,Paris SG,Ligue 1,FC Barcelona,LaLiga,2003-2004,16.125,32.25,M
742,744,Hernán Crespo,Centre-Forward,28,Inter,Serie A,Chelsea,Premier League,2003-2004,13.0,26.0,F
743,745,Damien Duff,Right Midfield,24,Blackburn,Premier League,Chelsea,Premier League,2003-2004,12.25,24.5,M
744,746,Adriano,Centre-Forward,21,Parma,Serie A,Inter,Serie A,2003-2004,11.7,23.4,F
745,747,Juan Sebastián Verón,Central Midfield,28,Man Utd,Premier League,Chelsea,Premier League,2003-2004,10.75,21.5,M
746,748,Sébastien Frey,Goalkeeper,23,Inter,Serie A,Parma,Serie A,2003-2004,10.5,21.0,G
747,749,Claude Makélélé,Defensive Midfield,30,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,10.0,20.0,M
748,750,José Antonio Reyes,Right Winger,20,Sevilla FC,LaLiga,Arsenal,Premier League,2003-2004,10.0,20.0,F
749,751,Roy Makaay,Centre-Forward,28,Dep. La Coruña,LaLiga,Bayern Munich ,1.Bundesliga,2003-2004,9.875,19.75,F
750,752,Adrian Mutu,Centre-Forward,24,Parma,Serie A,Chelsea,Premier League,2003-2004,9.5,19.0,F
751,753,Cristiano Ronaldo,Centre-Forward,18,Sporting CP,Liga NOS,Man Utd,Premier League,2003-2004,9.5,19.0,F
752,754,Cristian Chivu,Centre-Back,22,AFC Ajax,Eredivisie,AS Roma,Serie A,2003-2004,9.0,18.0,D
753,755,Louis Saha,Centre-Forward,25,Fulham,Premier League,Man Utd,Premier League,2003-2004,8.75,17.5,F
754,756,Geovanni,Attacking Midfield,23,FC Barcelona,LaLiga,Benfica,Liga NOS,2003-2004,7.5,15.0,M
755,757,Evanilson,Right-Back,27,Parma,Serie A,Bor. Dortmund,1.Bundesliga,2003-2004,7.5,15.0,D
756,758,Scott Parker,Central Midfield,23,Charlton,Premier League,Chelsea,Premier League,2003-2004,7.0,14.0,M
757,759,Andy van der Meyde,Right Winger,23,AFC Ajax,Eredivisie,Inter,Serie A,2003-2004,6.0,12.0,F
758,760,Michael Essien,Defensive Midfield,20,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,5.85,11.7,M
759,761,Pauleta,Centre-Forward,30,G. Bordeaux,Ligue 1,Paris SG,Ligue 1,2003-2004,5.5,11.0,F
760,762,Wayne Bridge,Left-Back,22,Southampton,Premier League,Chelsea,Premier League,2003-2004,5.25,10.5,D
761,763,Jermain Defoe,Centre-Forward,21,West Ham,First Division,Spurs,Premier League,2003-2004,5.25,10.5,F
762,764,Harry Kewell,Left Winger,24,Leeds,Premier League,Liverpool,Premier League,2003-2004,5.0,10.0,F
763,765,Juan Riquelme,Attacking Midfield,25,FC Barcelona,LaLiga,Villarreal CF,LaLiga,2003-2004,5.0,10.0,M
764,766,Njitap Geremi,Right-Back,24,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,5.0,10.0,D
765,767,Reinaldo,Centre-Forward,24,Flamengo, Brazil,Paris SG,Ligue 1,2003-2004,5.0,10.0,F
766,768,Joe Cole,Attacking Midfield,21,West Ham,First Division,Chelsea,Premier League,2003-2004,4.95,9.9,M
767,769,Barry Ferguson,Defensive Midfield,25,Rangers,Premiership,Blackburn,Premier League,2003-2004,4.875,9.75,M
768,770,Julio Cruz,Centre-Forward,28,Bologna,Serie A,Inter,Serie A,2003-2004,4.75,9.5,F
769,771,Hélder Postiga,Centre-Forward,20,FC Porto,Liga NOS,Spurs,Premier League,2003-2004,4.5,9.0,F
770,772,José Mari,Centre-Forward,24,AC Milan,Serie A,Villarreal CF,LaLiga,2003-2004,4.5,9.0,F
771,773,Andrés D'Alessandro,Attacking Midfield,22,River Plate, Argentina,VfL Wolfsburg,1.Bundesliga,2003-2004,4.5,9.0,M
772,774,Ousmane Dabo,Defensive Midfield,26,Atalanta,Serie B,Lazio,Serie A,2003-2004,4.44,8.88,M
773,775,Kléberson,Central Midfield,24,Atlético-PR, Brazil,Man Utd,Premier League,2003-2004,4.3,8.6,M
774,776,Glen Johnson,Right-Back,18,West Ham,First Division,Chelsea,Premier League,2003-2004,4.15,8.3,D
775,777,Kaká,Attacking Midfield,21,São Paulo, Brazil,AC Milan,Serie A,2003-2004,4.125,8.25,M
776,778,David Dunn,Attacking Midfield,23,Blackburn,Premier League,Birmingham,Premier League,2003-2004,4.125,8.25,M
